technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing_losses,temperature difference,wood-input,yield-biochar,capital_cost,marginal_cost
Alkaline electrolyzer large size,,,,0.0,,2.8,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,544776.4,40.0,,,,,,,,,,,,,0.0,,,,2152.4308761570323,0.3033
Alkaline electrolyzer medium size,,,,0.0,,2.3,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,642553.0,20.0,,,,,,,,,,,,,0.0,,,,2893.250609894483,0.3033
Alkaline electrolyzer small size,,,,0.0,,2.3,,,0.2455,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,740185.2999999999,20.0,,,,,,,,,,,,,0.0,,,,3332.8637025427174,0.2455
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,704759.3279,25.0,,,,,,,,,,,,,0.0,,,,3481.9884646587057,0.0
BEV Bus city,,,,0.0,,0.0003,450.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.6107,,,,,,,,,0.0,,,,,,239610.8371,12.0,,,,,,,,,,,,,0.0,,,,1157.13642787325,0.1197
BEV Coach,,,,0.0,,0.0002,600.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.5852,,,,,,,,,0.0,,,,,,340876.3189,12.0,,,,,,,,,,,,,0.0,,,,1646.1579030841374,0.1197
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,900.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.0768,,,,,,,,,0.0,,,,,,190126.4629,10.5,,,,,,,,,,,,,0.0,,,,1003.7973384389131,0.1197
BEV Truck Solo max 26 tons,,,,0.0,,0.0004,500.0,,0.1197,,,,,,,,,,,,,,0.07,,,,0.6872,,,,,,,,,0.0,,,,,,198055.1412,13.8,,,,,,,,,,,,,0.0,,,,876.2293358007088,0.1197
BEV Truck Trailer max 56 tons,,,,0.0,,0.0003,1200.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.2019,,,,,,,,,0.0,,,,,,210883.6844,13.8,,,,,,,,,,,,,0.0,,,,932.9768850581287,0.1197
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,29624.0605,15.0,,,,,,,,,,,,,0.0,,,,134.98221394258562,0.0
Battery electric (trucks),,,,0.0,,16.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,162699.0974,15.0,,,,,,,,,,,,,0.0,,,,1683.656950441526,0.0
BioSNG,,0.378,0.622,0.0,0.2281,1.6067,,,2.1393,,,,,0.9,,,,,,,,,0.07,,,,0.7,,,,,,,,,0.0,,,,,,2005574.4,25.0,,,,,,,,,,,,,0.0,,,,7837.044292127576,2.1393
BtL,,0.3156,0.6844,0.0,0.251,3.0,,,1.4207,,,,,0.9,,,,,,,,,0.07,,,,0.45,,,,,,,,,0.0,,,,,,2619090.8,25.0,,,,,,,,,,,,,0.0,,,,11634.125048609358,1.4207
CCGT,,,,0.198,,3.25,,,5.3432,,2.2,0.15,,,,,,,,,,,0.07,,,,0.6,,,,,,,,,22.7578,,,,,,1068642.5,25.0,,,,,,,,,,,,,0.0,,,,4849.433031741896,43.27286666666667
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2080.8385,20.0,,,,,,,,,,,,,0.0,,,,8.890601751229877,0.0
CH4 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,109.6647,50.0,,,,,,,,,,,,,0.0,,,,0.3678838746994164,0.0
CH4 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,150.6153,30.0,,,,,,,,,,,,,0.0,,,,0.6388604404670107,0.0
CH4 (l) transport ship,,,,0.0,,3.5,,,0.0,,,,58300.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,201706269.4992,25.0,,,,,,,,,,,,,0.0,,,,934672.1710353163,0.0
CH4 evaporation,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,116034.2,30.0,,,,,,,,,,,,,0.0,,,,514.431950882317,0.0
CH4 liquefaction,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.036,,0.0,,,,,,307492.39999999997,25.0,,1.0,,,,,,,,,,,0.0,,,,1424.8669106737893,0.0
CO2 liquefaction,,,,0.0,,5.0,,,0.0,,,,,,,1.0,,,,,,,0.07,,,,1.0,,,,,,,0.123,,0.0,,,0.0067,,,21.2764,25.0,,,,,,,,,,,,,0.0,,,,0.11083239572688433,0.0
CO2 pipeline,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2671.6062,50.0,,,,,,,,,,,,,0.0,,,,8.347399855164829,0.0
CO2 storage tank,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3268.743,25.0,,,,,,,,,,,,,0.0,,,,12.012381931178142,0.0
CO2 submarine pipeline,,,,0.0,,0.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5343.2124,25.0,,,,,,,,,,,,,0.0,,,,18.61117354327188,0.0
Charging infrastructure fast (purely) battery electric vehicles passenger cars,,,,0.0,,1.6,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,564409.9584,30.0,,,,,,,,,,,,,0.0,,,,2090.9605255560723,0.0
Charging infrastructure fuel cell vehicles passenger cars,,,,0.0,,2.2,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2248566.9073,30.0,,,,,,,,,,,,,0.0,,,,8847.708189140078,0.0
Charging infrastructure fuel cell vehicles trucks,,,,0.0,,2.2,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2247980.9894,30.0,,,,,,,,,,,,,0.0,,,,8845.402707108316,0.0
Charging infrastructure slow (purely) battery electric vehicles passenger cars,,,,0.0,,1.8,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1263.6213,30.0,,,,,,,,,,,,,0.0,,,,4.778252907228736,0.0
Compressed-Air-Adiabatic-bicharger,,,,0.0,,0.9265,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7211,,,,,,,,,0.0,,,,,,1189666.0381,60.0,,,,,,,,,,,,,0.0,,,,3673.0341062123443,0.0
Compressed-Air-Adiabatic-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6850.9515,60.0,,,,,,,,,,,,,0.0,,,,19.84728452127329,0.0
Concrete-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,0.0,,,,611.8310527824001,0.0
Concrete-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4343,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,0.0,,,,2223.0750650828772,0.0
Concrete-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,30231.6454,35.0,,,,,,,,,,,,,0.0,,,,93.39403697264889,0.0
"Container feeder, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7754,,,,,,,,,0.0,,,,,,43964228.25,30.0,,,,,,,,,,,,,0.0,,,,135892.78501185565,0.0
"Container feeder, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7718,,,,,,,,,0.0,,,,,,43964228.25,30.0,,,,,,,,,,,,,0.0,,,,135892.78501185565,0.0
"Container feeder, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7711,,,,,,,,,0.0,,,,,,43964228.25,30.0,,,,,,,,,,,,,0.0,,,,135892.78501185565,0.0
"Container, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7094,,,,,,,,,0.0,,,,,,150443790.75,32.0,,,,,,,,,,,,,0.0,,,,456286.04971259105,0.0
"Container, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.6399,,,,,,,,,0.0,,,,,,150443790.75,33.0,,,,,,,,,,,,,0.0,,,,452449.56682747375,0.0
"Container, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7001,,,,,,,,,0.0,,,,,,150443790.75,33.0,,,,,,,,,,,,,0.0,,,,452449.56682747375,0.0
Diesel Bus city,,,,0.0,,0.0004,250.0,,0.1343,,,,,,,,,,,,,,0.07,,,,1.2975,,,,,,,,,0.0,,,,,,189551.0786,12.0,,,,,,,,,,,,,0.0,,,,915.3934885605995,0.1343
Diesel Coach,,,,0.0,,0.0003,350.0,,0.1343,,,,,,,,,,,,,,0.07,,,,1.4329,,,,,,,,,0.0,,,,,,290816.5604,12.0,,,,,,,,,,,,,0.0,,,,1404.4207680272793,0.1343
Diesel Truck Semi-Trailer max 50 tons,,,,0.0,,0.0005,380.0,,0.1343,,,,,,,,,,,,,,0.07,,,,2.7275,,,,,,,,,0.0,,,,,,178556.7447,10.5,,,,,,,,,,,,,0.0,,,,942.7203582565638,0.1343
Diesel Truck Solo max 26 tons,,,,0.0,,0.0004,330.0,,0.1343,,,,,,,,,,,,,,0.07,,,,1.4992,,,,,,,,,0.0,,,,,,195445.2368,13.8,,,,,,,,,,,,,0.0,,,,864.6826787179419,0.1343
Diesel Truck Trailer max 56 tons,,,,0.0,,0.0004,382.3529,,0.1343,,,,,,,,,,,,,,0.07,,,,2.5876,,,,,,,,,0.0,,,,,,223195.9309,13.8,,,,,,,,,,,,,0.0,,,,987.4564280481696,0.1343
FCV Bus city,,,,0.0,,0.0003,450.0,,0.1231,,,,,,,,,,,,,,0.07,,,,1.1664,,,,,,,,,0.0,,,,,,239610.8371,12.0,,,,,,,,,,,,,0.0,,,,1157.13642787325,0.1231
FCV Coach,,,,0.0,,0.0002,450.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.1348,,,,,,,,,0.0,,,,,,448667.4956,12.0,,,,,,,,,,,,,0.0,,,,2166.702416061873,0.1197
FCV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,600.0,,0.1197,,,,,,,,,,,,,,0.07,,,,2.0908,,,,,,,,,0.0,,,,,,175787.9248,10.5,,,,,,,,,,,,,0.0,,,,928.0951654623129,0.1197
FCV Truck Solo max 26 tons,,,,0.0,,0.0003,450.0,,0.1197,,,,,,,,,,,,,,0.07,,,,1.3586,,,,,,,,,0.0,,,,,,216564.9047,13.8,,,,,,,,,,,,,0.0,,,,958.1113435815734,0.1197
FCV Truck Trailer max 56 tons,,,,0.0,,0.0003,450.0,,0.1197,,,,,,,,,,,,,,0.07,,,,2.3109,,,,,,,,,0.0,,,,,,244315.5988,13.8,,,,,,,,,,,,,0.0,,,,1080.8840285016165,0.1197
FT fuel transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,44006711.0399,15.0,,,,,,,,,,,,,0.0,,,,269721.9239705491,0.0
Fischer-Tropsch,,,,0.0,,6.5778,,,2.8078,,,,,0.9,,0.276,,,,,,,0.07,,,,0.754,,,,0.15,,,0.007,,0.0,,,,,1.327,1203344.7000000002,25.0,,,,,,,,,,,,,0.0,,,,6996.672172320148,2.8078
Gasnetz,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,35205.399999999994,30.0,,,,,,,,,,,,,0.0,,,,142.5779780339206,0.0
General liquid hydrocarbon storage (crude),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,174.7634,30.0,,,,,,,,,,,,,0.0,,,,0.9591444635595402,0.0
General liquid hydrocarbon storage (product),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,218.4543,30.0,,,,,,,,,,,,,0.0,,,,1.198930853861706,0.0
Gravity-Brick-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9274,,,,,,,,,0.0,,,,,,522511.1911,41.7,,,,,,,,,,,,,0.0,,,,1792.322454296086,0.0
Gravity-Brick-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,197881.4914,41.7,,,,,,,,,,,,,0.0,,,,564.9251960337648,0.0
Gravity-Water-Aboveground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,459720.1467,60.0,,,,,,,,,,,,,0.0,,,,1520.4886869965715,0.0
Gravity-Water-Aboveground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,153086.8088,60.0,,,,,,,,,,,,,0.0,,,,418.2453905515339,0.0
Gravity-Water-Underground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,1138087.6802,60.0,,,,,,,,,,,,,0.0,,,,3764.136627415445,0.0
Gravity-Water-Underground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,120682.1448,60.0,,,,,,,,,,,,,0.0,,,,329.71325994792545,0.0
H2 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5981.7263,20.0,,,,,,,,,,,,,0.0,,,,25.55755591707757,0.0
H2 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.017,,0.0,,,,,,381.8331,50.0,,,,,,,,,,,,,0.0,,,,1.2809066209681852,0.0
H2 (g) pipeline repurposed,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.017,,0.0,,,,,,162.7849,50.0,,,,,,,,,,,,,0.0,,,,0.5460821919410442,0.0
H2 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.017,,0.0,,,,,,573.491,30.0,,,,,,,,,,,,,0.0,,,,2.4325597257640257,0.0
H2 (g) submarine pipeline repurposed,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.017,,0.0,,,,,,201.3699,30.0,,,,,,,,,,,,,0.0,,,,0.8541447184369576,0.0
H2 (l) storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1001.9525,20.0,,,,,,,,,,,,,0.0,,,,4.3962407973445785,0.0
H2 (l) transport ship,,,,0.0,,4.0,,,0.0,,,,11000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,495059153.8494,20.0,,,,,,,,,,,,,0.0,,,,2551929.5162334787,0.0
H2 evaporation,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,72732.1,20.0,,,,,,,,,,,,,0.0,,,,333.07335617072505,0.0
H2 liquefaction,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.203,,0.0,,,,,1.017,671373.3999999999,20.0,,,,,,,,,,,,,0.0,,,,3074.524062714408,0.0
H2 pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,356.6594,40.0,,,,,,,,,,,,,0.0,,,,1.436534110993149,0.0
H2 production biomass gasification,,,,0.0,,5.0,,,0.6499,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.097,,0.0,,,,,,1863967.1,20.0,,,,,,,,,,,,,0.0,,1.804,,10323.318583053158,0.6499
H2 production biomass gasification CC,,,,0.0,,5.0,,,0.6644,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.143,,0.0,,,,,,1890830.4000000001,20.0,,,,,,,,,,,,,0.0,,1.804,,10472.097176887855,0.6644
H2 production coal gasification,,,,0.0,,6.4,,,0.6427,,,,,,,,,,1.62,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,506792.19999999995,20.0,,,,,,,,,,,,,0.0,,,,3078.937507468648,0.6427
H2 production coal gasification CC,,,,0.0,,6.2,,,0.1878,,,,,,,,,,1.62,,,,0.07,,,,1.0,,,,,,,0.023,,0.0,,,,,,524990.0,20.0,,,,,,,,,,,,,0.0,,,,3149.2222169954116,0.1878
H2 production heavy oil partial oxidation,,,,0.0,,5.0,,,0.2022,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.063,,0.0,,,,,,623633.2,25.0,,,,,,,1.3,,,,,,0.0,,,,3248.6116829361736,0.2022
H2 production natural gas steam reforming,,,,0.0,,4.9,,,260.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,1.25,,,,,228627.0,20.0,,,,,,,,,,,,,0.0,,,,1257.4491015743738,260.0
H2 production natural gas steam reforming CC,,,,0.0,,6.0,,,101.1,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.039,,0.0,1.4,,,,,276287.69999999995,20.0,,,,,,,,,,,,,0.0,,,,1636.1537778034208,101.1
H2 production solid biomass steam reforming,,,,0.0,,4.0,,,0.9388,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.044,,0.0,,,,,,750006.3,20.0,,,,,,,,,,,,,0.0,,1.36,,3866.1303390691382,0.9388
HVAC overhead,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,620.0,40.0,,,,,,,,,,,,,0.0,,,,2.140491302528596,0.0
HVAC submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3750.0,40.0,,,,,,,,,,,,,0.0,,,,14.384876139354908,0.0
HVAC underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3750.0,40.0,,,,,,,,,,,,,0.0,,,,14.384876139354908,0.0
HVDC inverter pair,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,540000.0,40.0,,,,,,,,,,,,,0.0,,,,1864.298876395874,0.0
HVDC overhead,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,500.0,40.0,,,,,,,,,,,,,0.0,,,,1.7262026633295129,0.0
HVDC submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2680.0,40.0,,,,,,,,,,,,,0.0,,,,10.280391480925642,0.0
HVDC underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3400.0,40.0,,,,,,,,,,,,,0.0,,,,13.042287699681784,0.0
Haber-Bosch,,,,0.0,,3.0,,,0.0284,,,,,,,,,,,,,,0.07,,,,1.0,,,,0.146,,,0.2473,,0.0,,,,,1.1484,1155636.9,30.0,,,,,,0.1597,,,,,,,0.0,,,,4901.8306835622325,0.0284
HighT-Molten-Salt-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,0.0,,,,611.8310527824001,0.0
HighT-Molten-Salt-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4444,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,0.0,,,,2223.0750650828772,0.0
HighT-Molten-Salt-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,118324.6775,35.0,,,,,,,,,,,,,0.0,,,,365.53813591673565,0.0
Hydrogen fuel cell (passenger cars),,,,0.0,,1.2,,,0.0,,,,,,,,,,,,,,0.07,,,,0.48,,,,,,,,,0.0,,,,,,33797.1541,15.0,,,,,,,,,,,,,0.0,,,,157.88592820274565,0.0
Hydrogen fuel cell (trucks),,,,0.0,,12.2,,,0.0,,,,,,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,158059.5327,15.0,,,,,,,,,,,,,0.0,,,,1405.2682215796754,0.0
Hydrogen-charger,,,,0.0,,0.6345,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6963,,,,,,,,,0.0,,,,,,436509.8856,30.0,,,,,,,,,,,,,0.0,,,,1455.4790082837155,0.0
Hydrogen-discharger,,,,0.0,,0.5812,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4869,,,,,,,,,0.0,,,,,,476539.1764,30.0,,,,,,,,,,,,,0.0,,,,1579.2085937546221,0.0
Hydrogen-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6010.0,30.0,,,,,,,,,,,,,0.0,,,,19.568060250479164,0.0
LNG storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,838.182,20.0,,,,,,,,,,,,,0.0,,,,3.6776692547799166,0.0
LOHC chemical,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3143.3365,20.0,,,,,,,,,,,,,0.0,,,,11.380608777062774,0.0
LOHC dehydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,67762.6606,20.0,,,,,,,,,,,,,0.0,,,,323.3116123685954,0.0
LOHC dehydrogenation (small scale),,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1054903.7304,20.0,,,,,,,,,,,,,0.0,,,,5033.194135964462,0.0
LOHC hydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.004,,0.0,,,,,1.867,68472.6582,20.0,0.944,,,,,,,,,,,,0.0,,,,326.69917812828214,0.0
LOHC loaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,192.0477,30.0,,,,,,,,,,,,,0.0,,,,1.0540049472277577,0.0
LOHC transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,44006711.0399,15.0,,,,,,,,,,,,,0.0,,,,269721.9239705491,0.0
LOHC unloaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,170.1689,30.0,,,,,,,,,,,,,0.0,,,,0.9339287190854438,0.0
Lead-Acid-bicharger,,,,0.0,,2.4427,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8832,,,,,,,,,0.0,,,,,,162012.1073,12.0,,,,,,,,,,,,,0.0,,,,934.1688420928416,0.0
Lead-Acid-store,,,,0.0,,0.2542,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,403140.9306,12.0,,,,,,,,,,,,,0.0,,,,1986.1216647371255,0.0
Liquid fuels ICE (passenger cars),,,,0.0,,1.6,,,0.0,,,,,,,,,,,,,,0.07,,,,0.215,,,,,,,,,0.0,,,,,,33797.1541,15.0,,,,,,,,,,,,,0.0,,,,163.07124499617032,0.0
